genre,fullplot,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,short,sport,thriller,war,western
"['drama', 'romance']","Ronnie's (Miley Cyrus) and her younger brother, Jonah's, parents are divorced. They live with their mother until this summer when they are sent to live with their father (Greg Kinnear) in a small town on the beach. Ronnie resents her father and has no intention of being friendly or even talking to him for the summer. But after meeting a handsome guy and beginning to fall in love, Ronnie starts rediscovering her love for music, something she shares with her father. Reconnecting with music revives a kinship with her father which proves to be the most important relationship she may ever experience.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
['comedy'],"A middle-aged man's conservative life is disturbed, when his sister returns to Greece, after many years in Chicago. Her arrival breaths new air to the family, and some extreme ideas of how to get her shy nieces to marry.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['action', 'drama']","In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['western'],"After Confederate officer Blayde Hollister's home and family are destroyed by the Marlowe brothers during the Civil War, he swears revenge, refusing to surrender and becoming a wanted man. In order to pursue the three brothers into Texas, Hollister fakes his own death in a staged gunfight with his friend Wild Bill Hickock. He then befriends Martin Weatherby, the newly appointed U.S. Marshal to Dallas, an affable, but not very experienced lawman, who agrees to let Hollister assume his identity. The eldest of the Marlow brothers, Will, masquerades as a law-abiding real estate dealer while feigning righteous indignation over the brutal acts of lawlessness and violence visited on the honest citizens of Dallas by his sociopathic brothers, Cullen and Bryant. (Their parents were evidently fond of the renowned poet William Cullen Bryant). When Hollister becomes a rival for the affections of Weatherby's aristocratic fiancee Tonia Robles, Martin wonders whether he should let Blayde know that he's been pardoned and free to marry her after the Marlow's have been defeated.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
['thriller'],An engaged couple's backpacking trip in the Caucasus Mountains is derailed by a single misstep that threatens to undo everything the pair believed about each other and about themselves.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"['biography', 'drama']","Sir Laurence Olivier is making a movie in London. Young Colin Clark, an eager film student, wants to be involved and he navigates himself a job on the set. When film star Marilyn Monroe arrives for the start of shooting, all of London is excited to see the blonde bombshell, while Olivier is struggling to meet her many demands and acting ineptness, and Colin is intrigued by her. Colin's intrigue is met when Marilyn invites him into her inner world where she struggles with her fame, her beauty and her desire to be a great actress.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['drama'],"Ramasan has a lot of responsibility for an 11-year-old. In traditional Chechen society, he is now considered the man of the house in charge of his mother and two younger sisters. His world is now centered in Macondo, a tough ethnic neighborhood in the industrial suburbs of Vienna. Ramasan speaks German much better than his mother Aminat, and he often translates for her regarding school and government welfare matters. Aminat is still coping with having lost her husband, fleeing Chechnya and trying to make ends meet as a single mother and foreigner in a new society. Ramasan's confined world is disrupted when Isa, his father's war buddy, moves into the low-income housing complex. Isa pays his respects to Aminat and her children, giving them the watch and a family photo his dead friend always carried with him. This encounter awakens Ramasan's interest in his father. He seeks Isa's company, but the outsider remains secretive about the past. Isa gradually opens up and a bond evolves between them that helps young Ramasan face and overcome his worst fear. Isa could become a new, much more human, father figure than the boy's abstract memory of the war hero at the family altar. But when Aminat begins to warm up to Isa, conflicted Ramasan feels the need to protect the image of his dead father...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['horror'],"After a year passes since the sudden death of a child, a family gathering takes place whilst peculiar unexplainable events occur. Tension over peculiar circumstances cracks the veneer of cordiality and dark secrets emerge. Bethany (Sienna Guillory) becomes increasingly unhinged and seems Hell bent on tearing her family apart. Is she possessed or simply playing devils advocate? With the help of a priest and a psychic the family attempts to restore peace and sanity. But events which occur that night could never have been foreseen. Police psychologist Dr Woods (Eric Roberts) tries to exact fact from fiction of what really took place in the house in this gothic horror morality tale.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"['biography', 'drama', 'music']","Comedian Harmonists tells the story of a famous, German male sextet, five vocals and piano, the ""Comedian Harmonists"", from the day they meet first in 1927 to the day in 1934, when they become banned by the upcoming Nazis, because three of them are Jewish.",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
['documentary'],"Heddy Honigmann returns to her birthplace of Lima, Peru to reacquaint herself with a place and people dear to her heart.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
